date,open,high,low,close,volume,average,barCount
2025-12-31 09:25:00-05:00,272.51,273.2,272.2,273.12,42209.0,272.691,85
2025-12-31 09:30:00-05:00,273.06,273.68,272.5,272.66,690089.0,273.163,1964
2025-12-31 09:35:00-05:00,272.69,272.97,272.54,272.85,305211.0,272.779,1395
2025-12-31 09:40:00-05:00,272.87,272.88,272.29,272.38,212006.0,272.472,1191
2025-12-31 09:45:00-05:00,272.37,272.69,272.23,272.69,138419.0,272.44,757
2025-12-31 09:50:00-05:00,272.69,273.1,272.63,273.07,178363.0,272.883,786
2025-12-31 09:55:00-05:00,273.07,273.12,272.86,273.06,115296.0,273.022,591
2025-12-31 10:00:00-05:00,273.07,273.11,272.87,273.04,144569.0,272.963,784
2025-12-31 10:05:00-05:00,273.05,273.07,272.86,272.9,97314.0,272.974,480
2025-12-31 10:10:00-05:00,272.92,273.09,272.85,273.07,94307.0,272.978,518
2025-12-31 10:15:00-05:00,273.1,273.11,272.54,272.55,104524.0,272.752,554
2025-12-31 10:20:00-05:00,272.56,272.61,272.4,272.43,178193.0,272.506,879
2025-12-31 10:25:00-05:00,272.43,272.53,272.38,272.5,204472.0,272.444,1082
2025-12-31 10:30:00-05:00,272.5,272.59,272.34,272.41,156682.0,272.469,865
2025-12-31 10:35:00-05:00,272.39,272.48,272.24,272.32,122212.0,272.36,707
2025-12-31 10:40:00-05:00,272.33,272.43,272.28,272.42,93919.0,272.343,537
2025-12-31 10:45:00-05:00,272.4,272.41,272.11,272.19,124160.0,272.213,685
2025-12-31 10:50:00-05:00,272.19,272.2,272.02,272.15,133989.0,272.131,769
2025-12-31 10:55:00-05:00,272.16,272.16,271.76,271.89,214521.0,271.92,1068
2025-12-31 11:00:00-05:00,271.92,272.27,271.9,272.1,173816.0,272.108,859
2025-12-31 11:05:00-05:00,272.1,272.26,272.05,272.16,137010.0,272.149,699
2025-12-31 11:10:00-05:00,272.16,272.23,272.07,272.14,97980.0,272.155,712
2025-12-31 11:15:00-05:00,272.16,272.34,272.1,272.34,148363.0,272.211,925
2025-12-31 11:20:00-05:00,272.35,272.47,272.31,272.42,159711.0,272.396,835
2025-12-31 11:25:00-05:00,272.43,272.5,272.34,272.47,119470.0,272.387,586
2025-12-31 11:30:00-05:00,272.49,272.55,272.27,272.46,120594.0,272.428,685
2025-12-31 11:35:00-05:00,272.45,272.63,272.4,272.62,141135.0,272.517,693
2025-12-31 11:40:00-05:00,272.61,272.63,272.37,272.41,115823.0,272.485,678
2025-12-31 11:45:00-05:00,272.4,272.5,272.29,272.46,77532.0,272.391,462
2025-12-31 11:50:00-05:00,272.45,272.69,272.45,272.58,102229.0,272.618,579
2025-12-31 11:55:00-05:00,272.58,272.77,272.58,272.76,73402.0,272.68,469
2025-12-31 12:00:00-05:00,272.76,272.79,272.58,272.58,88771.0,272.676,581
2025-12-31 12:05:00-05:00,272.58,272.62,272.32,272.34,86506.0,272.473,545
2025-12-31 12:10:00-05:00,272.34,272.54,272.3,272.52,80890.0,272.426,502
2025-12-31 12:15:00-05:00,272.53,272.79,272.51,272.77,77688.0,272.681,469
2025-12-31 12:20:00-05:00,272.77,272.8,272.68,272.71,62659.0,272.731,396
2025-12-31 12:25:00-05:00,272.71,272.8,272.65,272.67,76212.0,272.735,474
2025-12-31 12:30:00-05:00,272.66,272.79,272.64,272.77,71101.0,272.705,438
2025-12-31 12:35:00-05:00,272.77,272.79,272.58,272.61,87373.0,272.706,513
2025-12-31 12:40:00-05:00,272.61,272.81,272.57,272.78,105463.0,272.671,532
2025-12-31 12:45:00-05:00,272.79,272.88,272.75,272.81,110547.0,272.83,621
2025-12-31 12:50:00-05:00,272.81,272.85,272.73,272.79,88604.0,272.786,554
2025-12-31 12:55:00-05:00,272.78,272.8,272.66,272.77,81010.0,272.729,467
2025-12-31 13:00:00-05:00,272.77,272.86,272.71,272.83,75118.0,272.778,447
2025-12-31 13:05:00-05:00,272.86,272.97,272.71,272.96,129231.0,272.823,742
2025-12-31 13:10:00-05:00,272.95,273.09,272.86,273.09,182970.0,272.956,891
2025-12-31 13:15:00-05:00,273.09,273.1,272.63,272.67,162706.0,272.921,854
2025-12-31 13:20:00-05:00,272.67,272.69,272.59,272.68,88051.0,272.637,613
2025-12-31 13:25:00-05:00,272.69,272.76,272.55,272.63,130972.0,272.664,764
2025-12-31 13:30:00-05:00,272.63,272.78,272.6,272.78,98687.0,272.67,600
2025-12-31 13:35:00-05:00,272.79,272.87,272.58,272.66,102223.0,272.71,625
2025-12-31 13:40:00-05:00,272.66,272.95,272.66,272.95,87928.0,272.842,527
2025-12-31 13:45:00-05:00,272.95,273.14,272.93,273.08,185331.0,273.033,730
2025-12-31 13:50:00-05:00,273.1,273.33,273.1,273.31,103884.0,273.209,582
2025-12-31 13:55:00-05:00,273.29,273.33,273.22,273.3,100176.0,273.273,545
2025-12-31 14:00:00-05:00,273.28,273.43,273.27,273.31,105348.0,273.348,576
2025-12-31 14:05:00-05:00,273.3,273.33,273.14,273.26,167863.0,273.237,766
2025-12-31 14:10:00-05:00,273.27,273.29,273.11,273.23,118006.0,273.204,509
2025-12-31 14:15:00-05:00,273.24,273.24,273.04,273.08,78324.0,273.135,479
2025-12-31 14:20:00-05:00,273.08,273.21,272.96,273.16,98993.0,273.071,602
2025-12-31 14:25:00-05:00,273.15,273.16,272.96,272.96,70448.0,273.05,386
2025-12-31 14:30:00-05:00,272.97,273.01,272.61,272.63,91066.0,272.852,541
2025-12-31 14:35:00-05:00,272.64,272.97,272.6,272.85,106480.0,272.819,589
2025-12-31 14:40:00-05:00,272.85,272.96,272.8,272.94,91228.0,272.878,444
2025-12-31 14:45:00-05:00,272.92,272.94,272.83,272.85,49289.0,272.88,343
2025-12-31 14:50:00-05:00,272.87,272.92,272.62,272.7,76856.0,272.795,516
2025-12-31 14:55:00-05:00,272.69,272.77,272.67,272.71,115880.0,272.723,714
2025-12-31 15:00:00-05:00,272.7,272.73,272.34,272.42,116406.0,272.471,682
2025-12-31 15:05:00-05:00,272.44,272.58,272.27,272.33,97107.0,272.44,597
2025-12-31 15:10:00-05:00,272.31,272.37,272.18,272.33,119334.0,272.286,714
2025-12-31 15:15:00-05:00,272.32,272.49,272.29,272.44,106843.0,272.412,745
2025-12-31 15:20:00-05:00,272.43,272.43,271.95,272.15,147505.0,272.106,850
2025-12-31 15:25:00-05:00,272.15,272.17,272.01,272.08,100294.0,272.104,722
2025-12-31 15:30:00-05:00,272.09,272.56,272.02,272.53,134219.0,272.359,839
2025-12-31 15:35:00-05:00,272.53,272.74,272.49,272.49,131927.0,272.607,824
2025-12-31 15:40:00-05:00,272.48,272.72,272.4,272.71,177455.0,272.575,951
2025-12-31 15:45:00-05:00,272.71,272.75,272.43,272.52,152616.0,272.61,771
2025-12-31 15:50:00-05:00,272.5,272.68,272.28,272.38,395799.0,272.45,2758
2025-12-31 15:55:00-05:00,272.38,272.49,271.75,271.84,1503993.0,272.056,9094
2025-12-31 16:00:00-05:00,271.86,272.41,271.86,272.14,7420969.0,271.861,128
2025-12-31 16:05:00-05:00,272.1,272.15,271.76,272.0,6648.0,272.074,46
2025-12-31 16:10:00-05:00,272.02,272.13,271.91,272.09,1669.0,272.045,7
2025-12-31 16:15:00-05:00,272.09,272.09,271.97,272.0,1002.0,272.03,7
2025-12-31 16:20:00-05:00,272.05,272.09,272.01,272.03,6779.0,272.044,18
2025-12-31 16:25:00-05:00,272.05,272.09,272.05,272.09,247.0,272.066,2
2025-12-31 16:30:00-05:00,271.86,272.35,271.86,272.07,24002.0,271.937,13
2025-12-31 16:35:00-05:00,272.07,272.09,272.06,272.06,3183.0,272.086,7
2025-12-31 16:40:00-05:00,272.2,272.2,272.15,272.15,300.0,272.165,3
2025-12-31 16:45:00-05:00,272.1,272.2,272.07,272.07,2378.0,272.17,12
2025-12-31 16:50:00-05:00,272.07,272.07,272.07,272.07,0.0,272.07,0
2025-12-31 16:55:00-05:00,272.24,272.24,272.08,272.09,450.0,272.123,2
2025-12-31 17:00:00-05:00,272.1,272.25,272.1,272.25,200.0,272.175,2
2025-12-31 17:05:00-05:00,272.15,272.22,272.15,272.22,439.0,272.186,2
2025-12-31 17:10:00-05:00,272.22,272.22,272.22,272.22,0.0,272.22,0
2025-12-31 17:15:00-05:00,272.04,272.05,272.04,272.04,2000.0,272.04,1
2025-12-31 17:20:00-05:00,272.11,272.22,272.11,272.22,292.0,272.156,2
2025-12-31 17:25:00-05:00,272.22,272.22,272.22,272.22,0.0,272.22,0
2025-12-31 17:30:00-05:00,272.22,272.22,272.22,272.22,0.0,272.22,0
2025-12-31 17:35:00-05:00,272.14,272.14,272.14,272.14,100.0,272.14,1
2025-12-31 17:40:00-05:00,272.12,272.12,272.05,272.06,959.0,272.076,4
2025-12-31 17:45:00-05:00,272.1,272.1,272.04,272.04,200.0,272.07,2
2025-12-31 17:50:00-05:00,272.05,272.05,272.05,272.05,100.0,272.05,1
2025-12-31 17:55:00-05:00,272.1,272.1,272.1,272.1,100.0,272.1,1
2025-12-31 18:00:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 18:05:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 18:10:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 18:15:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 18:20:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 18:25:00-05:00,272.05,272.05,272.04,272.04,596.0,272.045,4
2025-12-31 18:30:00-05:00,272.05,272.05,272.05,272.05,300.0,272.05,3
2025-12-31 18:35:00-05:00,272.05,272.05,272.05,272.05,0.0,272.05,0
2025-12-31 18:40:00-05:00,272.04,272.04,272.04,272.04,451.0,272.04,1
2025-12-31 18:45:00-05:00,272.05,272.05,272.05,272.05,445.0,272.05,1
2025-12-31 18:50:00-05:00,272.07,272.1,272.05,272.1,1065.0,272.082,6
2025-12-31 18:55:00-05:00,272.1,272.1,272.1,272.1,0.0,272.1,0
2025-12-31 19:00:00-05:00,272.14,272.22,272.11,272.17,723.0,272.16,4
2025-12-31 19:05:00-05:00,272.17,272.17,272.17,272.17,0.0,272.17,0
2025-12-31 19:10:00-05:00,272.12,272.15,272.12,272.15,500.0,272.138,3
2025-12-31 19:15:00-05:00,272.12,272.12,272.12,272.12,100.0,272.12,1
2025-12-31 19:20:00-05:00,272.12,272.12,272.08,272.09,2089.0,272.107,7
2025-12-31 19:25:00-05:00,272.09,272.09,272.08,272.09,200.0,272.088,2
2025-12-31 19:30:00-05:00,272.03,272.03,272.0,272.0,2893.0,272.007,3
2025-12-31 19:35:00-05:00,272.01,272.01,272.01,272.01,200.0,272.01,1
2025-12-31 19:40:00-05:00,272.09,272.09,272.09,272.09,110.0,272.09,1
2025-12-31 19:45:00-05:00,272.09,272.09,272.09,272.09,0.0,272.09,0
2025-12-31 19:50:00-05:00,272.2,272.2,272.19,272.2,100.0,272.199,1
2025-12-31 19:55:00-05:00,272.09,272.09,272.09,272.09,100.0,272.09,1
2026-01-02 04:00:00-05:00,273.27,273.31,273.27,273.31,565.0,273.295,5
2026-01-02 04:05:00-05:00,273.5,273.53,273.41,273.53,2809.0,273.493,18
2026-01-02 04:10:00-05:00,273.6,274.0,273.53,273.85,2923.0,273.786,21
2026-01-02 04:15:00-05:00,273.82,273.94,273.53,273.55,16761.0,273.543,13
2026-01-02 04:20:00-05:00,273.62,273.62,273.53,273.53,680.0,273.574,5
2026-01-02 04:25:00-05:00,273.6,273.78,273.52,273.78,650.0,273.684,5
2026-01-02 04:30:00-05:00,273.66,273.7,273.59,273.59,313.0,273.652,3
2026-01-02 04:35:00-05:00,273.61,273.73,273.5,273.73,17430.0,273.524,21
2026-01-02 04:40:00-05:00,273.45,273.45,273.45,273.45,100.0,273.45,1
2026-01-02 04:45:00-05:00,273.43,273.43,273.35,273.35,2397.0,273.401,6
2026-01-02 04:50:00-05:00,273.31,273.32,273.31,273.31,2276.0,273.311,12
2026-01-02 04:55:00-05:00,273.32,273.34,273.3,273.34,17575.0,273.302,15
2026-01-02 05:00:00-05:00,273.21,273.21,273.2,273.2,2257.0,273.201,8
2026-01-02 05:05:00-05:00,273.28,273.28,273.28,273.28,146.0,273.28,1
2026-01-02 05:10:00-05:00,273.28,273.28,273.28,273.28,0.0,273.28,0
2026-01-02 05:15:00-05:00,273.28,273.28,273.28,273.28,0.0,273.28,0
2026-01-02 05:20:00-05:00,273.22,273.22,273.21,273.21,890.0,273.211,5
2026-01-02 05:25:00-05:00,273.22,273.24,273.22,273.24,200.0,273.23,2
2026-01-02 05:30:00-05:00,273.21,273.21,273.2,273.2,14015.0,273.201,5
2026-01-02 05:35:00-05:00,273.19,273.19,273.19,273.19,100.0,273.19,1
2026-01-02 05:40:00-05:00,273.3,273.3,273.26,273.3,2793.0,273.293,7
2026-01-02 05:45:00-05:00,273.3,273.52,273.3,273.5,2208.0,273.431,13
2026-01-02 05:50:00-05:00,273.5,273.55,273.5,273.5,872.0,273.507,5
2026-01-02 05:55:00-05:00,273.5,273.5,273.5,273.5,558.0,273.5,3
2026-01-02 06:00:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:05:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:10:00-05:00,273.5,273.5,273.5,273.5,2465.0,273.5,8
2026-01-02 06:15:00-05:00,273.55,273.68,273.5,273.5,3143.0,273.626,16
2026-01-02 06:20:00-05:00,273.5,273.51,273.5,273.5,1684.0,273.501,10
2026-01-02 06:25:00-05:00,273.51,273.51,273.5,273.5,805.0,273.502,5
2026-01-02 06:30:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:35:00-05:00,273.57,273.57,273.5,273.5,1240.0,273.506,5
2026-01-02 06:40:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:45:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:50:00-05:00,273.5,273.5,273.5,273.5,0.0,273.5,0
2026-01-02 06:55:00-05:00,273.22,273.23,273.2,273.23,1182.0,273.212,8
2026-01-02 07:00:00-05:00,273.23,273.41,273.2,273.3,6460.0,273.285,23
2026-01-02 07:05:00-05:00,273.24,273.24,273.22,273.22,463.0,273.231,3
2026-01-02 07:10:00-05:00,273.25,273.25,273.18,273.21,13534.0,273.202,10
2026-01-02 07:15:00-05:00,273.27,273.27,273.2,273.2,467.0,273.229,4
2026-01-02 07:20:00-05:00,273.22,273.28,273.22,273.22,522.0,273.245,5
2026-01-02 07:25:00-05:00,273.22,273.22,273.22,273.22,0.0,273.22,0
2026-01-02 07:30:00-05:00,273.21,273.21,273.14,273.14,1364.0,273.181,10
2026-01-02 07:35:00-05:00,273.1,273.15,273.1,273.15,300.0,273.117,3
2026-01-02 07:40:00-05:00,273.15,273.15,273.15,273.15,0.0,273.15,0
2026-01-02 07:45:00-05:00,273.3,273.3,273.3,273.3,243.0,273.3,1
2026-01-02 07:50:00-05:00,273.22,273.22,273.2,273.2,1397.0,273.202,4
